material_id,composition,G_vrh
mp-1001784,Li1 Ti1 S2,39.777
mp-569788,Li3 Zn3 Ge3,35.794
mp-20801,Li1 In2 Pd1,18.833
mp-976426,Li1 Lu1 Hg2,16.026
mp-861875,Li1 Hf2 Re1,44.212
mp-11248,Li1 Au3,10.927
mp-631269,Li1 Ir1 Rh1,30.087
mp-2362485,Li3 Mg3,12.984
mp-672340,Li1 In2 Ru1,41.998
mp-15788,Li1 Y1 S2,27.464
mp-865708,Li1 Sm2 Ru1,25.565
mp-28567,Li2 Bi2 F8,26.886
mp-13322,Li1 Ge1 Rh2,90.626
mp-867250,Li1 Zn2 Pd1,26.455
mp-31208,Li1 In2 Ir1,40.176
mp-5127,Li4 Cu4 O4,32.616
mp-675460,Li1 Ti1 Cl3,16.043
mp-631338,Li1 Zr1 Sc1,-43.555
mp-8310,Li1 Ni2 P2,44.076
mp-568273,Li2 I2,10.762
mp-1138,Li1 F1,50.018
mp-1018135,Li1 Cd1 As1,29.67
mp-865912,Li1 Zn2 Rh1,37.415
mp-2743,Li1 Pd1,24.82
mp-8756,K2 Li2 Se2,15.306
mp-758604,Li2 Ag2 F4,1.696
mp-865872,Li1 Zr2 Re1,37.587
mp-11582,Li4 Ga4 Se8,17.624
mp-30738,Li1 Ir3,112.944
mp-973415,Li2 La6,8.867
mp-867285,Li1 Tb2 Ir1,33.159
mp-977399,Li1 Mg1 Pd2,40.498
mp-977563,Li1 Nb1 Ir2,85.649
mp-1934,Li2 Zn2,22.505
mp-30079,Li1 Mg2 Ge1,-52.54
mp-21297,Li2 Sn8 Ru2,45.755
mp-23797,Li2 H12 Cl2 O14,13.733
mp-25372,Li1 Cu1 O2,59.679
mp-567652,Cs2 Li1 Y1 Cl6,9.676
mp-861930,Li1 Pd1 Au2,11.699
mp-15793,Li1 Tb1 Se2,23.333
mp-755570,Li1 Ni2 S2,20.112
mp-867252,Li1 Zn2 Ni1,35.747
mp-1063005,Li3,5.187
mp-1009009,Li1 F1,-5.79
mp-30156,Li4 Mg4 N4,79.534
mp-862549,Li1 Ac1 Tl2,6.17
mp-862632,Li1 Ca2 Al1,20.041
mp-7575,Li1 Zn1 N1,83.729
mp-530399,Li4 Al20 O32,120.442
mp-16349,Li1 Ni2 Ge1,46.128
mp-1001835,Li2 B2,45.849
mp-941221,Li6 B30 H30,10.386
