material_id,formula_pretty,composition,K_vrh,G_vrh
mp-862290,LiFeRh2,Li1 Fe1 Rh2,145.894,65.499
mp-975649,LiTm3,Li2 Tm6,36.414,-6.95
mp-1020059,LiGe2N3,Li2 Ge4 N6,122.768,86.576
mp-867196,LiCd2Pd,Li1 Cd2 Pd1,71.539,22.13
mp-976272,LiCa3,Li1 Ca3,15.36,-6.125
mp-10614,SrLiP,Sr1 Li1 P1,42.523,29.394
mp-753257,LiCuF4,Li2 Cu2 F8,27.725,19.272
mp-40189,BaLiLaTeO6,Ba1 Li1 La1 Te1 O6,289.195,-112.455
mp-10890,LiAl3,Li1 Al3,63.994,40.501
mp-862927,LiPmHg2,Li1 Pm1 Hg2,49.81,11.196
mp-867160,LiCd2Au,Li1 Cd2 Au1,64.741,16.546
mp-753508,LiCuS,Li4 Cu4 S4,38.109,15.988
mp-862321,LiAsPd2,Li1 As1 Pd2,108.466,35.687
mp-861658,LiMnPt2,Li1 Mn1 Pt2,134.07,50.068
mp-3524,LiPN2,Li2 P2 N4,135.35,100.508
mp-10181,LiSiNi2,Li1 Si1 Ni2,149.838,65.605
mp-570935,LiI,Li2 I2,14.86,6.203
mp-1001784,LiTiS2,Li1 Ti1 S2,60.842,39.777
mp-569788,LiZnGe,Li3 Zn3 Ge3,52.042,35.794
mp-20801,LiIn2Pd,Li1 In2 Pd1,67.719,18.833
mp-976426,LiLuHg2,Li1 Lu1 Hg2,54.534,16.026
mp-861875,LiHf2Re,Li1 Hf2 Re1,137.66,44.212
mp-11248,LiAu3,Li1 Au3,98.057,10.927
mp-631269,LiIrRh,Li1 Ir1 Rh1,141.531,30.087
mp-2362485,LiMg,Li3 Mg3,25.554,12.984
mp-672340,LiIn2Ru,Li1 In2 Ru1,95.132,41.998
mp-15788,LiYS2,Li1 Y1 S2,48.397,27.464
mp-865708,LiSm2Ru,Li1 Sm2 Ru1,66.47,25.565
mp-28567,LiBiF4,Li2 Bi2 F8,75.053,26.886
mp-13322,LiGeRh2,Li1 Ge1 Rh2,168.2,90.626
mp-867250,LiZn2Pd,Li1 Zn2 Pd1,87.893,26.455
mp-31208,LiIn2Ir,Li1 In2 Ir1,103.987,40.176
mp-5127,LiCuO,Li4 Cu4 O4,69.627,32.616
mp-675460,LiTiCl3,Li1 Ti1 Cl3,35.091,16.043
mp-631338,LiZrSc,Li1 Zr1 Sc1,25.706,-43.555
mp-8310,Li(NiP)2,Li1 Ni2 P2,111.137,44.076
mp-568273,LiI,Li2 I2,20.169,10.762
mp-1138,LiF,Li1 F1,69.649,50.018
mp-1018135,LiCdAs,Li1 Cd1 As1,46.596,29.67
mp-865912,LiZn2Rh,Li1 Zn2 Rh1,102.513,37.415
mp-2743,LiPd,Li1 Pd1,72.655,24.82
mp-8756,KLiSe,K2 Li2 Se2,24.635,15.306
mp-758604,LiAgF2,Li2 Ag2 F4,36.273,1.696
mp-865872,LiZr2Re,Li1 Zr2 Re1,126.874,37.587
mp-11582,LiGaSe2,Li4 Ga4 Se8,34.67,17.624
mp-30738,LiIr3,Li1 Ir3,242.519,112.944
mp-973415,LiLa3,Li2 La6,23.83,8.867
mp-867285,LiTb2Ir,Li1 Tb2 Ir1,81.503,33.159
mp-977399,LiMgPd2,Li1 Mg1 Pd2,84.673,40.498
mp-977563,LiNbIr2,Li1 Nb1 Ir2,209.556,85.649
mp-1934,LiZn,Li2 Zn2,41.652,22.505
mp-30079,LiMg2Ge,Li1 Mg2 Ge1,38.234,-52.54
mp-21297,LiSn4Ru,Li2 Sn8 Ru2,68.495,45.755
mp-23797,LiH6ClO7,Li2 H12 Cl2 O14,20.3,13.733
mp-25372,LiCuO2,Li1 Cu1 O2,118.564,59.679
mp-567652,Cs2LiYCl6,Cs2 Li1 Y1 Cl6,19.256,9.676
mp-861930,LiPdAu2,Li1 Pd1 Au2,102.194,11.699
mp-15793,LiTbSe2,Li1 Tb1 Se2,40.551,23.333
mp-755570,Li(NiS)2,Li1 Ni2 S2,72.246,20.112
mp-867252,LiZn2Ni,Li1 Zn2 Ni1,41.35,35.747
mp-1063005,Li,Li3,13.65,5.187
mp-1009009,LiF,Li1 F1,70.937,-5.79
mp-30156,LiMgN,Li4 Mg4 N4,96.016,79.534
mp-862549,LiAcTl2,Li1 Ac1 Tl2,34.711,6.17
mp-862632,LiCa2Al,Li1 Ca2 Al1,29.043,20.041
mp-7575,LiZnN,Li1 Zn1 N1,112.773,83.729
mp-530399,LiAl5O8,Li4 Al20 O32,196.082,120.442
mp-16349,LiNi2Ge,Li1 Ni2 Ge1,132.644,46.128
mp-1001835,LiB,Li2 B2,70.778,45.849
mp-941221,Li(BH)5,Li6 B30 H30,16.486,10.386
mp-961723,LiCaRh,Li1 Ca1 Rh1,42.619,8.295
mp-8452,NaLiS,Na2 Li2 S2,35.529,23.768
mp-861881,LiGeAu2,Li1 Ge1 Au2,77.804,17.072
mp-754344,LiZnO2,Li1 Zn1 O2,101.841,45.232
mp-867744,LiTi3O4,Li1 Ti3 O4,193.852,81.153
mp-9719,Na2LiAlP2,Na8 Li4 Al4 P8,40.227,27.656
mp-7298,Li(CuP)2,Li1 Cu2 P2,92.396,37.221
mp-631334,LiTc2Pd,Li1 Tc2 Pd1,176.159,-11.236
mp-2479693,LiCaSn,Li3 Ca3 Sn3,33.128,26.704
mp-1021323,LiC12,Li1 C12,140.283,106.231
mp-756094,LiFeS2,Li1 Fe1 S2,70.86,31.867
mp-861736,LiSbPd2,Li1 Sb1 Pd2,107.809,33.967
mp-13288,Ba3LiN,Ba6 Li2 N2,12.858,0.547
mp-862297,LiAlRh2,Li1 Al1 Rh2,147.585,66.739
mp-973824,LiHg3,Li1 Hg3,22.639,18.474
mp-35717,LiDySe2,Li2 Dy2 Se4,46.015,30.614
mp-973940,LiCd3,Li1 Cd3,41.518,5.772
mp-865812,LiSmHg2,Li1 Sm1 Hg2,50.518,10.941
mp-974060,LiDy3,Li1 Dy3,32.831,-5.24
mp-36111,LiMgP,Li1 Mg1 P1,53.996,43.198
mp-864755,LiAcTe2,Li1 Ac1 Te2,41.104,-4.408
mp-11390,LiGaSi,Li1 Ga1 Si1,58.688,46.327
mp-972285,Sr3Li,Sr3 Li1,11.008,8.744
mp-1008911,LiMnAs,Li1 Mn1 As1,43.203,33.252
mp-996988,LiAgO2,Li1 Ag1 O2,75.626,6.182
mp-2659898,LiBH4,Li2 B2 H8,17.533,10.774
mp-632808,BaLiH3,Ba1 Li1 H3,16.673,6.439
mp-3731,LiNbO3,Li8 Nb8 O24,103.121,49.129
mp-23259,LiBr,Li1 Br1,25.963,16.321
mp-865868,LiZrRh2,Li1 Zr1 Rh2,137.351,45.895
mp-975906,LiAl3,Li1 Al3,62.466,39.623
mp-862335,LiAsRh2,Li1 As1 Rh2,160.442,59.369
mp-631339,Na2LiTa,Na2 Li1 Ta1,17.782,5.998
mp-973613,LiCeO3,Li1 Ce1 O3,156.051,17.775
mp-20265,LiIn2Pt,Li1 In2 Pt1,81.018,28.966
mp-10173,Li,Li2,14.344,7.956
mp-1008925,LiFeP,Li1 Fe1 P1,63.254,71.498
mp-8001,LiAlO2,Li1 Al1 O2,142.701,96.813
mp-974938,Rb3Li,Rb3 Li1,3.531,1.539
mp-1029338,LiV2N3,Li2 V4 N6,147.437,66.596
mp-25417,LiTiO2,Li1 Ti1 O2,132.322,77.858
mp-7554,LiMgSnAu,Li1 Mg1 Sn1 Au1,61.1,16.802
mp-541365,LiEuH3,Li1 Eu1 H3,47.287,49.922
mp-559612,KLiO,K4 Li4 O4,31.925,20.733
mp-977561,LiTaIr2,Li1 Ta1 Ir2,222.448,100.908
mp-975909,LiAu3,Li1 Au3,102.226,31.714
mp-753506,LiBiS2,Li1 Bi1 S2,60.947,36.004
mp-11977,LiSnAu,Li2 Sn2 Au2,58.955,14.507
mp-20998,LiCaPb,Li3 Ca3 Pb3,29.742,24.614
mp-8002,LiGaO2,Li1 Ga1 O2,118.336,71.709
mp-30817,LiAl2Pd,Li1 Al2 Pd1,104.819,56.274
mp-758302,LiAgF2,Li2 Ag2 F4,54.712,112.431
mp-755253,LiZrO2,Li2 Zr2 O4,158.131,100.522
mp-864762,LiMg2Zn,Li1 Mg2 Zn1,40.259,26.795
mp-861616,LiSc2Ir,Li1 Sc2 Ir1,99.243,38.644
mp-8481,LiPrGe,Li3 Pr3 Ge3,53.023,37.085
mp-867267,LiHo2Pt,Li1 Ho2 Pt1,74.476,31.91
mp-976259,LiTmRh2,Li1 Tm1 Rh2,103.934,38.993
mp-861913,LiDy2Al,Li1 Dy2 Al1,49.683,31.25
mp-962069,LiAgTe,Li1 Ag1 Te1,40.089,-1.732
mp-862842,LiPm2Pt,Li1 Pm2 Pt1,63.715,20.936
mp-8873,LiGeBO4,Li1 Ge1 B1 O4,89.133,60.304
mp-861896,LiHg2Pd,Li1 Hg2 Pd1,69.136,11.597
mp-864614,LiMg2Pt,Li1 Mg2 Pt1,70.501,34.393
mp-2468774,LiCuS,Li4 Cu4 S4,62.759,30.22
mp-36791,LiNdS2,Li2 Nd2 S4,47.891,29.894
mp-861666,LiRu2W,Li1 Ru2 W1,221.989,82.095
mp-766486,LiCuS2,Li2 Cu2 S4,46.834,21.639
mp-13277,BaLiP,Ba2 Li2 P2,39.363,29.534
mp-13916,LiCaSi2,Li4 Ca4 Si8,47.84,36.127
mp-1029932,LiVN2,Li4 V4 N8,80.75,46.341
mp-861625,LiZnAg2,Li1 Zn1 Ag2,65.489,15.67
mp-867211,LiCa2In,Li1 Ca2 In1,27.505,18.813
mp-12716,LiTlPd2,Li1 Tl1 Pd2,94.163,36.325
mp-753722,LiCuS2,Li1 Cu1 S2,41.616,16.147
mp-864631,LiNbRh2,Li1 Nb1 Rh2,175.191,56.338
mp-989579,Rb2LiTlCl6,Rb2 Li1 Tl1 Cl6,19.666,10.376
mp-862677,LiHoTl2,Li1 Ho1 Tl2,42.546,19.632
mp-989504,Na2LiNF6,Na2 Li1 N1 F6,59.139,30.306
mp-976291,LiAlH4,Li2 Al2 H8,24.716,16.29
mp-753541,LiCuF4,Li2 Cu2 F8,39.822,12.424
mp-1029395,LiCrN2,Li2 Cr2 N4,87.366,47.814
mp-9562,LiBeAs,Li2 Be2 As2,54.336,35.547
mp-753605,LiCuS,Li4 Cu4 S4,26.248,16.527
mp-569331,Li(Sn3Pd)2,Li2 Sn12 Pd4,61.911,17.812
mp-973874,LiLa2Al,Li1 La2 Al1,36.572,21.112
mp-867927,LiVIr2,Li1 V1 Ir2,223.046,108.216
mp-754537,LiLuO2,Li1 Lu1 O2,96.985,46.12
mp-861956,LiPm2Ir,Li1 Pm2 Ir1,73.728,28.359
mp-973561,LiCe2Ru,Li1 Ce2 Ru1,65.477,6.7
mp-961684,LiCaAs,Li1 Ca1 As1,37.314,17.972
mp-865116,LiSmTl2,Li1 Sm1 Tl2,41.722,15.962
mp-30821,LiAl2Rh,Li1 Al2 Rh1,119.342,55.198
mp-982974,LiBeAu2,Li1 Be1 Au2,105.456,34.74
mp-861624,LiLaHg2,Li1 La1 Hg2,44.988,9.091
mp-862296,LiAlPt2,Li1 Al1 Pt2,151.998,104.435
mp-867834,LiHfPt2,Li1 Hf1 Pt2,146.996,23.595
mp-976424,LiLa3,Li1 La3,30.515,10.268
mp-865939,LiMg2,Li1 Mg2,30.17,19.141
mp-976280,LiBr,Li2 Br2,19.461,8.428
mp-2365577,LiNiS2,Li2 Ni2 S4,71.293,34.235
mp-755000,LiTiO2,Li2 Ti2 O4,129.822,57.795
mp-13914,LiCo2Ge,Li1 Co2 Ge1,154.032,97.165
mp-27227,LiAg3O2,Li2 Ag6 O4,66.519,19.457
mp-867313,LiTmPt2,Li1 Tm1 Pt2,103.456,37.47
mp-1018786,LiMnSb,Li2 Mn2 Sb2,30.709,14.417
mp-862377,LiBe2Ir,Li1 Be2 Ir1,139.753,64.707
mp-631330,LiTaW2,Li1 Ta1 W2,174.843,-47.706
mp-11512,LiAl2Ir,Li1 Al2 Ir1,135.916,52.607
mp-29520,LiAuI4,Li2 Au2 I8,6.138,3.8
mp-864784,LiSnRh2,Li1 Sn1 Rh2,142.707,67.926
mp-758741,Li(FeP)2,Li1 Fe2 P2,126.556,66.399
mp-12564,LiSbAu,Li1 Sb1 Au1,53.85,8.279
mp-867206,LiCd2Pt,Li1 Cd2 Pt1,84.2,23.689
mp-861900,LiGaAu2,Li1 Ga1 Au2,85.118,26.976
mp-865936,LiSc2Tc,Li1 Sc2 Tc1,82.734,32.676
mp-1001786,LiScS2,Li1 Sc1 S2,55.65,32.783
mp-13444,LiSn,Li6 Sn6,37.597,17.536
mp-5048,LiGaTe2,Li2 Ga2 Te4,26.207,13.673
mp-867119,LiHfPd2,Li1 Hf1 Pd2,117.376,19.867
mp-862555,LiY2Al,Li1 Y2 Al1,50.306,33.33
mp-975990,NaLiO3,Na1 Li1 O3,49.933,13.061
mp-862774,LiInPt2,Li1 In1 Pt2,128.499,129.985
mp-867364,LiTmPd2,Li1 Tm1 Pd2,82.224,-4.548
mp-867258,LiZnPd2,Li1 Zn1 Pd2,109.393,50.885
mp-862684,LiHf2Os,Li1 Hf2 Os1,145.945,59.172
mp-867148,LiHfRh2,Li1 Hf1 Rh2,145.866,55.025
mp-9615,LiTiS2,Li1 Ti1 S2,65.258,48.553
mp-8754,NaLiTe,Na4 Li4 Te4,24.832,15.62
mp-1029294,LiSn2N3,Li2 Sn4 N6,83.514,48.959
mp-23856,LiHO,Li2 H2 O2,14.251,10.119
mp-9472,LiAg2Ge,Li1 Ag2 Ge1,64.676,17.417
mp-861932,LiZnAu2,Li1 Zn1 Au2,86.57,0.923
mp-867924,LiCdPd2,Li1 Cd1 Pd2,93.448,30.879
mp-863659,LiScHg2,Li1 Sc1 Hg2,57.209,15.302
mp-604313,Li,Li4,9.564,-13.034
mp-22905,LiCl,Li1 Cl1,32.161,20.781
mp-567097,LiCu2Ge,Li1 Cu2 Ge1,88.21,36.738
mp-861629,LiMnPd2,Li1 Mn1 Pd2,102.805,43.455
mp-753848,Li(CuO)3,Li2 Cu6 O6,89.756,41.778
mp-753371,LiCuS,Li4 Cu4 S4,32.045,8.094
mp-996992,LiAgO2,Li1 Ag1 O2,70.805,27.457
