material_id,composition,K_vrh
mp-1001784,Li1 Ti1 S2,60.842
mp-569788,Li3 Zn3 Ge3,52.042
mp-20801,Li1 In2 Pd1,67.719
mp-976426,Li1 Lu1 Hg2,54.534
mp-861875,Li1 Hf2 Re1,137.66
mp-11248,Li1 Au3,98.057
mp-631269,Li1 Ir1 Rh1,141.531
mp-2362485,Li3 Mg3,25.554
mp-672340,Li1 In2 Ru1,95.132
mp-15788,Li1 Y1 S2,48.397
mp-865708,Li1 Sm2 Ru1,66.47
mp-28567,Li2 Bi2 F8,75.053
mp-13322,Li1 Ge1 Rh2,168.2
mp-867250,Li1 Zn2 Pd1,87.893
mp-31208,Li1 In2 Ir1,103.987
mp-5127,Li4 Cu4 O4,69.627
mp-675460,Li1 Ti1 Cl3,35.091
mp-631338,Li1 Zr1 Sc1,25.706
mp-8310,Li1 Ni2 P2,111.137
mp-568273,Li2 I2,20.169
mp-1138,Li1 F1,69.649
mp-1018135,Li1 Cd1 As1,46.596
mp-865912,Li1 Zn2 Rh1,102.513
mp-2743,Li1 Pd1,72.655
mp-8756,K2 Li2 Se2,24.635
mp-758604,Li2 Ag2 F4,36.273
mp-865872,Li1 Zr2 Re1,126.874
mp-11582,Li4 Ga4 Se8,34.67
mp-30738,Li1 Ir3,242.519
mp-973415,Li2 La6,23.83
mp-867285,Li1 Tb2 Ir1,81.503
mp-977399,Li1 Mg1 Pd2,84.673
mp-977563,Li1 Nb1 Ir2,209.556
mp-1934,Li2 Zn2,41.652
mp-30079,Li1 Mg2 Ge1,38.234
mp-21297,Li2 Sn8 Ru2,68.495
mp-23797,Li2 H12 Cl2 O14,20.3
mp-25372,Li1 Cu1 O2,118.564
mp-567652,Cs2 Li1 Y1 Cl6,19.256
mp-861930,Li1 Pd1 Au2,102.194
mp-15793,Li1 Tb1 Se2,40.551
mp-755570,Li1 Ni2 S2,72.246
mp-867252,Li1 Zn2 Ni1,41.35
mp-1063005,Li3,13.65
mp-1009009,Li1 F1,70.937
mp-30156,Li4 Mg4 N4,96.016
mp-862549,Li1 Ac1 Tl2,34.711
mp-862632,Li1 Ca2 Al1,29.043
mp-7575,Li1 Zn1 N1,112.773
mp-530399,Li4 Al20 O32,196.082
mp-16349,Li1 Ni2 Ge1,132.644
mp-1001835,Li2 B2,70.778
mp-941221,Li6 B30 H30,16.486
mp-961723,Li1 Ca1 Rh1,42.619
mp-8452,Na2 Li2 S2,35.529
mp-861881,Li1 Ge1 Au2,77.804
mp-754344,Li1 Zn1 O2,101.841
mp-867744,Li1 Ti3 O4,193.852
mp-9719,Na8 Li4 Al4 P8,40.227
mp-7298,Li1 Cu2 P2,92.396
mp-631334,Li1 Tc2 Pd1,176.159
mp-2479693,Li3 Ca3 Sn3,33.128
mp-1021323,Li1 C12,140.283
mp-756094,Li1 Fe1 S2,70.86
mp-861736,Li1 Sb1 Pd2,107.809
mp-13288,Ba6 Li2 N2,12.858
mp-862297,Li1 Al1 Rh2,147.585
mp-973824,Li1 Hg3,22.639
mp-35717,Li2 Dy2 Se4,46.015
mp-973940,Li1 Cd3,41.518
mp-865812,Li1 Sm1 Hg2,50.518
mp-974060,Li1 Dy3,32.831
mp-36111,Li1 Mg1 P1,53.996
mp-864755,Li1 Ac1 Te2,41.104
mp-11390,Li1 Ga1 Si1,58.688
mp-972285,Sr3 Li1,11.008
mp-1008911,Li1 Mn1 As1,43.203
mp-996988,Li1 Ag1 O2,75.626
mp-2659898,Li2 B2 H8,17.533
mp-632808,Ba1 Li1 H3,16.673
mp-3731,Li8 Nb8 O24,103.121
mp-23259,Li1 Br1,25.963
mp-865868,Li1 Zr1 Rh2,137.351
mp-975906,Li1 Al3,62.466
mp-862335,Li1 As1 Rh2,160.442
mp-631339,Na2 Li1 Ta1,17.782
mp-973613,Li1 Ce1 O3,156.051
mp-20265,Li1 In2 Pt1,81.018
mp-10173,Li2,14.344
mp-1008925,Li1 Fe1 P1,63.254
mp-8001,Li1 Al1 O2,142.701
mp-974938,Rb3 Li1,3.531
mp-1029338,Li2 V4 N6,147.437
mp-25417,Li1 Ti1 O2,132.322
mp-7554,Li1 Mg1 Sn1 Au1,61.1
mp-541365,Li1 Eu1 H3,47.287
mp-559612,K4 Li4 O4,31.925
mp-977561,Li1 Ta1 Ir2,222.448
mp-975909,Li1 Au3,102.226
mp-753506,Li1 Bi1 S2,60.947
mp-11977,Li2 Sn2 Au2,58.955
mp-20998,Li3 Ca3 Pb3,29.742
mp-8002,Li1 Ga1 O2,118.336
mp-30817,Li1 Al2 Pd1,104.819
