material_id,composition,log_sigma
0,Li3 Cl1 O3.5,-10.015520477294922
1,Li3 B0.5 Se1 C0.5 N0.5 F2,-6.169415473937988
2,Li3 B0.75 Te1 Cl0.25 O1 F3,-6.648279047012329
3,Na3 Al0.875 S1 I0.125 F3.5,-3.6267285346984863
4,Na3 Al0.75 S1 I0.25 F3,-3.9138558387756346
5,Na3 Al0.625 S1 I0.375 F2.5,-4.139432454109192
6,Na3 Al0.375 S1 F2.125,-7.105714750289917
7,Li3 B0.875 Br0.125 O1 F3.5,-3.453975462913513
8,Li3 B0.5 H1 N0.5 O1 F2,-5.622656440734863
9,Na3 B0.875 I0.125 O1 F3.5,-3.6725433349609373
10,Na3 B0.75 I0.25 O1 F3,-4.088287496566773
11,Na3 Al0.5 C0.5 N0.5 O1 F2,-7.179565048217773
12,Li3 B0.5 H2 I0.5 O3,-3.967547345161438
13,Na2 Al0.875 H1 I0.125 O1 F3.5,-3.905404472351074
14,Na2 Al0.75 H1 I0.25 O1 F3,-4.365219831466675
15,Na2 Al0.625 H1 I0.375 O1 F2.5,-4.91108889579773
16,Na2 Al0.5 H1 I0.5 O1 F2,-5.292925572395324
17,Na2 Al0.375 H1 I0.625 O1 F1.5,-5.499538707733154
18,Li3 B0.875 Te1 F3.625,-7.112980794906616
19,Li3 Te1 Cl1 O3,-10.17634859085083
20,Li2 H1 I0.25 O2 F0.75,-3.9230390071868895
21,Li3 B0.5 I0.5 O1 F2,-5.12496771812439
22,K2 Al0.875 H1 I0.125 O1 F3.5,-3.6703513145446776
23,K2 Al0.75 H1 I0.25 O1 F3,-4.14419801235199
24,K2 Al0.875 H1 Br0.125 O1 F3.5,-3.5250604152679443
25,K2 Al0.75 H1 Br0.25 O1 F3,-3.7700373411178587
26,K2 Al0.625 H1 Br0.375 O1 F2.5,-4.014726257324218
27,Na2 Al0.375 H1 Cl1.5 O1 F0.625,-6.883634471893311
28,Li3 C0.5 N0.5 Cl0.5 O3,-6.982702016830444
29,Li3 Se1 Cl1 O4,-9.729866027832031
30,Li2 Al0.25 B0.75 H1 Cl1 O1 F3,-5.775719070434571
31,Li2 H1 I0.125 O1 F0.875,-3.520170712471008
32,Li2 H1 I0.25 O1 F0.75,-4.26508469581604
33,Li2 H1 I0.375 O1 F0.625,-4.958403801918029
34,Li2 H1 I0.5 O1 F0.5,-5.452144527435303
35,Li2 H1 I0.625 O1 F0.375,-5.67163782119751
36,Na2 Al0.125 B0.875 H1 Cl0.5 O1 F3.5,-5.388581132888794
37,Li3 B0.5 H2 Cl0.5 O3,-5.049669027328491
38,Na3 B0.875 Br0.125 O1 F3.5,-3.51275954246521
39,Na3 B0.75 Br0.25 O1 F3,-3.7878067016601564
40,Li3 Cl1 O4,-9.933038520812989
41,Li3 B1 Cl0.5 O1 F3.5,-6.733133459091187
42,Li3 C0.625 S1 N0.625 Cl0.375,-3.892255401611328
43,Li3 C0.5 S1 N0.5 Cl0.5,-4.875938272476196
44,Li3 C0.875 S1 N0.875 F0.125,-3.200178050994873
45,Li3 C0.75 S1 N0.75 Cl0.25,-3.20189745426178
46,Li3 C0.625 S1 Br0.375 N0.625,-3.8674519777297975
47,Li3 C0.875 S1 N0.875 Cl0.125,-2.711760377883911
48,Li3 C0.75 S1 Br0.25 N0.75,-3.268498253822327
49,Na3 B0.875 Cl0.125 O1 F3.5,-5.718813419342041
50,Na3 B0.75 Cl0.25 O1 F3,-6.318299627304077
51,Na3 Al0.25 B0.75 Cl1 O1 F3,-6.569828271865845
52,Na3 Al0.125 B0.875 Cl0.5 O1 F3.5,-6.314812803268433
53,Li3 B1 Te1 F4,-7.161247587203979
54,Li2 B0.125 H1 O1 F1.375,-5.045494651794433
55,K3 Al1 O1 F4,-8.326824426651001
56,K3 Al0.875 I0.125 O1 F3.5,-3.8140766859054565
57,K3 Al0.875 O1 F3.625,-8.22750735282898
58,K3 Al0.75 O1 F3.25,-8.12940559387207
59,K3 Al0.75 I0.25 O1 F3,-4.125125241279602
60,Na2 Al0.125 B0.875 H1 O1 F4,-5.747880983352661
61,Na2 Al0.375 B0.625 H1 O1 F4,-5.8729479789733885
62,Na2 Al0.25 B0.75 H1 O1 F4,-5.816609191894531
63,Li2 B0.25 H1 O1 F1.75,-5.784309434890747
64,Li2 Al0.5 B0.5 H1 O1 F4,-5.870295619964599
65,Na3 B1 Cl0.5 O1 F3.5,-6.766111040115357
66,Na2 Al0.5 B0.5 H1 O1 F4,-5.92321367263794
67,Li3 B0.625 O1 F2.875,-7.3306458473205565
68,Li3 B0.875 O1 F3.625,-7.490740060806274
69,Li3 B1 O1 F4,-7.54522671699524
70,Na3 Al0.125 B0.875 O1 F4,-6.823420286178589
71,Na3 Al0.25 B0.75 O1 F4,-6.730775022506714
72,Li2 H1 Br0.5 O1 F0.5,-4.376276803016663
73,Li2 H1 Br0.625 O1 F0.375,-4.504297399520874
74,Li2 H1 Br0.75 O1 F0.25,-4.475390219688416
75,Li2 H1 Br0.75 Cl0.25 O1,-3.568090009689331
76,Li2 H1 Br0.125 Cl0.875 O1,-3.264298605918884
77,Li3 B0.75 O1 F3.25,-7.423181486129761
78,Li3 S1 Cl1 O4,-7.325512933731079
79,Li3 B0.125 Cl1.375 O1,-6.740465593338013
