material_id,composition,log_sigma
3,Na3 Al0.875 S1 I0.125 F3.5,-3.192150115966797
24,K2 Al0.875 H1 Br0.125 O1 F3.5,-3.2778274774551392
22,K2 Al0.875 H1 I0.125 O1 F3.5,-3.2918115139007567
4,Na3 Al0.75 S1 I0.25 F3,-3.350982999801636
38,Na3 B0.875 Br0.125 O1 F3.5,-3.3965795993804933
7,Li3 B0.875 Br0.125 O1 F3.5,-3.4126558780670164
48,Li3 C0.75 S1 Br0.25 N0.75,-3.4167545795440675
25,K2 Al0.75 H1 Br0.25 O1 F3,-3.4392446994781496
9,Na3 B0.875 I0.125 O1 F3.5,-3.4457804918289185
56,K3 Al0.875 I0.125 O1 F3.5,-3.4464300870895386
5,Na3 Al0.625 S1 I0.375 F2.5,-3.459883117675781
23,K2 Al0.75 H1 I0.25 O1 F3,-3.4674371242523194
13,Na2 Al0.875 H1 I0.125 O1 F3.5,-3.532368874549866
26,K2 Al0.625 H1 Br0.375 O1 F2.5,-3.533966851234436
46,Li3 C0.625 S1 Br0.375 N0.625,-3.5661337852478026
39,Na3 B0.75 Br0.25 O1 F3,-3.578679919242859
44,Li3 C0.875 S1 N0.875 F0.125,-3.6198038339614866
10,Na3 B0.75 I0.25 O1 F3,-3.6530908346176147
59,K3 Al0.75 I0.25 O1 F3,-3.6573485851287844
47,Li3 C0.875 S1 N0.875 Cl0.125,-3.6655184745788576
36,Na2 Al0.125 B0.875 H1 Cl0.5 O1 F3.5,-3.6875677585601805
14,Na2 Al0.75 H1 I0.25 O1 F3,-3.7657741785049437
31,Li2 H1 I0.125 O1 F0.875,-3.7781119346618652
76,Li2 H1 Br0.125 Cl0.875 O1,-3.781882905960083
