formula,X,B,A,A_w,A_d,A_dw,composition,Tolerance_Factor
Li3OI,Li,O,I,1.0,,,Li3 I1 O1,0.9689981816260095
Li3OI0.875(NO2)0.125,Li,O,I,0.875,NO2,0.125,Li3 I0.875 N0.125 O1.25,0.957540432856783
Li3OI0.75(NO2)0.25,Li,O,I,0.75,NO2,0.25,Li3 I0.75 N0.25 O1.5,0.9460826840875566
Li3OI0.625(NO2)0.375,Li,O,I,0.625,NO2,0.375,Li3 I0.625 N0.375 O1.75,0.9346249353183301
Li3OI0.5(NO2)0.5,Li,O,I,0.5,NO2,0.5,Li3 I0.5 N0.5 O2,0.9231671865491037
Li3OI0.375(NO2)0.625,Li,O,I,0.375,NO2,0.625,Li3 I0.375 N0.625 O2.25,0.9117094377798772
Li3OI0.25(NO2)0.75,Li,O,I,0.25,NO2,0.75,Li3 I0.25 N0.75 O2.5,0.9002516890106507
Li3OI0.125(NO2)0.875,Li,O,I,0.125,NO2,0.875,Li3 I0.125 N0.875 O2.75,0.8887939402414242
Li3OI0.875(IO4)0.125,Li,O,I,0.875,IO4,0.125,Li3 I1 O1.5,0.9808651357084226
Li3OI0.75(IO4)0.25,Li,O,I,0.75,IO4,0.25,Li3 I1 O2,0.9927320897908357
Li3OI0.625(IO4)0.375,Li,O,I,0.625,IO4,0.375,Li3 I1 O2.5,1.0045990438732488
Li3OI0.5(IO4)0.5,Li,O,I,0.5,IO4,0.5,Li3 I1 O3,1.016465997955662
Li3OI0.375(IO4)0.625,Li,O,I,0.375,IO4,0.625,Li3 I1 O3.5,1.028332952038075
Li3OI0.25(IO4)0.75,Li,O,I,0.25,IO4,0.75,Li3 I1 O4,1.0401999061204883
Li3OI0.125(IO4)0.875,Li,O,I,0.125,IO4,0.875,Li3 I1 O4.5,1.0520668602029013
Li3OI0.875(ICl4)0.125,Li,O,I,0.875,ICl4,0.125,Li3 I1 Cl0.5 O1,0.9841387782139159
Li3OI0.75(ICl4)0.25,Li,O,I,0.75,ICl4,0.25,Li3 I1 Cl1 O1,0.9992793748018223
Li3OI0.625(ICl4)0.375,Li,O,I,0.625,ICl4,0.375,Li3 I1 Cl1.5 O1,1.0144199713897286
Li3OI0.5(ICl4)0.5,Li,O,I,0.5,ICl4,0.5,Li3 I1 Cl2 O1,1.0295605679776352
Li3OI0.375(ICl4)0.625,Li,O,I,0.375,ICl4,0.625,Li3 I1 Cl2.5 O1,1.0447011645655415
Li3OI0.25(ICl4)0.75,Li,O,I,0.25,ICl4,0.75,Li3 I1 Cl3 O1,1.0598417611534479
Li3OI0.125(ICl4)0.875,Li,O,I,0.125,ICl4,0.875,Li3 I1 Cl3.5 O1,1.0749823577413542
Li3OI0.875(NH2)0.125,Li,O,I,0.875,NH2,0.125,Li3 H0.25 I0.875 N0.125 O1,0.9489471212798631
Li3OI0.75(NH2)0.25,Li,O,I,0.75,NH2,0.25,Li3 H0.5 I0.75 N0.25 O1,0.9288960609337169
Li3OI0.625(NH2)0.375,Li,O,I,0.625,NH2,0.375,Li3 H0.75 I0.625 N0.375 O1,0.9088450005875706
Li3OI0.5(NH2)0.5,Li,O,I,0.5,NH2,0.5,Li3 H1 I0.5 N0.5 O1,0.8887939402414242
Li3OI0.375(NH2)0.625,Li,O,I,0.375,NH2,0.625,Li3 H1.25 I0.375 N0.625 O1,0.868742879895278
Li3OI0.25(NH2)0.75,Li,O,I,0.25,NH2,0.75,Li3 H1.5 I0.25 N0.75 O1,0.8486918195491316
Li3OI0.125(NH2)0.875,Li,O,I,0.125,NH2,0.875,Li3 H1.75 I0.125 N0.875 O1,0.8286407592029853
Li3ONO2,Li,O,NO2,1.0,,,Li3 N1 O3,0.8773361914721978
Li3OIO4,Li,O,IO4,1.0,,,Li3 I1 O5,1.0639338142853145
Li3O(IO4)0.875(NO2)0.125,Li,O,IO4,0.875,NO2,0.125,Li3 I0.875 N0.125 O4.75,1.0406091114336748
Li3O(IO4)0.75(NO2)0.25,Li,O,IO4,0.75,NO2,0.25,Li3 I0.75 N0.25 O4.5,1.0172844085820354
Li3O(IO4)0.625(NO2)0.375,Li,O,IO4,0.625,NO2,0.375,Li3 I0.625 N0.375 O4.25,0.9939597057303957
Li3O(IO4)0.5(NO2)0.5,Li,O,IO4,0.5,NO2,0.5,Li3 I0.5 N0.5 O4,0.9706350028787561
Li3O(IO4)0.375(NO2)0.625,Li,O,IO4,0.375,NO2,0.625,Li3 I0.375 N0.625 O3.75,0.9473103000271166
Li3O(IO4)0.25(NO2)0.75,Li,O,IO4,0.25,NO2,0.75,Li3 I0.25 N0.75 O3.5,0.923985597175477
Li3O(IO4)0.125(NO2)0.875,Li,O,IO4,0.125,NO2,0.875,Li3 I0.125 N0.875 O3.25,0.9006608943238373
Li3O(IO4)0.875(NH2)0.125,Li,O,IO4,0.875,NH2,0.125,Li3 H0.25 I0.875 N0.125 O4.5,1.032015799856755
