material_id,composition,E_g
mp-758828,Li4 Cu4 P4 O16,0.1438999999999999
mp-759301,Li2 Co6 O12,1.1138
mp-1235241,Li1 Ti1 H6 O2 F6,0.155
mp-757465,Li4 Fe4 P4 O16,3.3557
mp-765635,Li8 Fe8 P8 O32,3.5322000000000005
mp-1185360,Li1 Mn1 Ir2,0.0
mp-779059,Li2 V8 O10 F14,0.6888
mp-1099313,Li1 Mg6 Ga1,0.0
mp-1176703,Li8 Fe8 P8 O32,3.4391
mp-759071,Li2 Sb2 P8 O24,3.9803
mp-867684,Li4 Ni4 P16 O48,4.0854
mp-1211846,Li4 Nd4 C16 O40,1.0943
mp-556814,Li4 Nd4 Ge4 O16,4.058400000000001
mp-758685,Li4 Fe4 P12 O36,3.6638
mp-1185327,Li1 Dy2 Tl1,0.0
mp-777550,Li4 Fe4 F16,3.1772
mp-1235029,Ba3 Li1 Ti3 O8,0.0
mp-1222324,Li3 Zn3 Ge3,0.0
mp-752878,Li4 Ag8 F16,0.1804999999999998
mp-758519,Li4 Fe4 Si4 O16,2.1733
mp-758914,Rb4 Li4 V4 P4 O20,2.3445
mp-1523057,Li4 Nd4 Gd4 Fe4 O24,0.5916000000000001
mp-757816,Li2 Nb2 P8 O24,0.2860999999999998
mp-540268,Li2 Mo4 P6 O24,1.5276999999999998
mp-977374,Li1 Lu1 Pd2,0.0
mp-982667,Li1 Al2 Os1,0.0
mp-1235302,Li1 Ti2 Zn2 P2 O10,0.0
mp-1176610,Li4 Ni4 P12 O36,4.7568
mp-867162,Li1 Tm2 Rh1,0.0
mp-1222409,Li2 Ga2 B2 H6 O10,4.4692
mp-19251,Rb2 Li2 Cr2 O8,2.7696
mp-771523,Li4 Cr8 O16,0.4290000000000002
mp-851076,Li5 Mn10 B10 O30,0.0189999999999999
mp-1235024,Li1 Nb2 Te4 Cl10 O1,0.0
mp-1013762,Li4 Ti8 P8 O36,0.0425000000000004
mp-1095977,Ba2 Li1 Cd1,0.1151000000000002
mp-752898,Li2 Cu6 F14,0.0
mp-9143,Li1 P1 F6,7.5394
mp-756178,Li2 Ti2 V2 O10,1.5071000000000003
mp-8923,Sr4 Li2 Fe4 N6,0.0
mp-6663,Na4 Li4 Ge16 O36,2.6592
mp-1176720,Li1 Fe5 O4 F8,1.6382
mp-757618,Li4 Fe4 Si12 O32,2.8878
mp-759173,Li1 V3 O8,1.1192000000000002
mp-1045516,Li1 Ni2 O4,0.0731000000000001
mp-975799,Li2 Zn6,0.0
mp-754709,Li1 Ti1 V3 O8,0.1346000000000002
mp-753373,Li1 V1 F4,0.0
mp-1340104,Li4 Mn4 O4 F8,0.0809000000000002
mp-756818,Li6 Si6 Bi6 O24,3.2515
mp-780318,Li8 Co8 O8 F16,0.0
mp-800160,Li2 Mn2 P4 O14,0.0
mp-1326495,Li2 V2 Si6 O16,0.0
mp-1113020,Cs2 Li1 Ce1 Cl6,0.3208000000000002
mp-759232,Li2 Mn2 V2 P8 O28,1.3469000000000002
mp-1039957,Li1 Hf1 Mg30 O31,0.2062000000000008
mp-1521265,Ba4 Li4 Tb4 Sb4 O24,0.0
mp-1040143,Li1 Ce1 Mg30 O32,0.0
mp-1206734,Li1 In1 Pt1,0.0
mp-1022597,Li2 Mg12 Zn2,0.0
mp-541272,Li2 Ge4 P6 O24,3.385
mp-1203426,Li4 Zn4 As4 O20,0.2377
mp-6553,Li2 Sc2 Si4 O12,4.9196
mp-862719,Li1 Y2 Os1,0.0
mp-1235575,Ba1 Li1 Zr1 O3,0.0
mp-1295192,Li4 Mn4 C8 O24,0.9049999999999998
mp-781859,Li2 Cu4 P6 H16 O26,0.7864999999999998
mp-1101736,Li1 Fe3 O4,1.0169
mp-1100398,Li1 Be1 Sb1,1.0104999999999995
mp-754766,Li1 V1 F4,1.8449
mp-867877,Li1 Cd1 Au2,0.0
mp-31468,Li4 Ca4 N4,1.3784999999999998
mp-1178103,Li1 Fe2 O4,0.3103
mp-760158,Li3 Mn3 V3 P6 H6 O30,0.8605
mp-33363,Li2 Y2 S4,1.9597
mp-1662129,Li4 Co4 P4 O16,2.9034
mp-1235617,Ba2 Li1 C2 O6,0.2656999999999998
mp-1096265,Li1 Sc2 Co1,0.3705
mp-1228175,Ba10 Li2 Mo4 N14 Cl4,2.3448
mp-849221,Li4 Mn8 P4 O24,0.6399000000000001
mp-1176736,Li4 Fe8 O4 F12,2.8823000000000003
mp-1021293,Li2 La2 Mg12,0.0
mp-973058,Li1 Lu2 Al1,0.0
mp-1189357,Cs6 Li2 Br8,4.035
mp-758737,Li2 Fe2 P8 O24,2.2278
mp-777798,Li1 V6 O7 F5,1.09
mp-26967,Li4 Cr16 P12 O48,2.4213
mp-1185368,Li1 Mg1 In2,0.0
mp-1235844,Ba2 Li1 La1 Cu3 O7,0.0
mp-26949,Li2 Sn4 P10 O30,3.9968
mp-695259,Ba6 Li2 Ti10 Sb6 O42,2.3328
mp-758098,Li2 P6 W4 O24,2.3861
mp-1235723,Li1 Ti1 Fe1 O4,1.3904
mp-3941,Li2 Y2 F8,7.3177
mp-12609,Li1 Ca6 Ge1,0.0
mp-541190,Cs4 Li2 V2 O8,3.9955
mp-554003,Sr32 Li8 B24 O72,4.1874
mp-1105750,Li1 Au1 S4 O14,1.9833
mp-569450,Li2 B12 C2,1.3922
mp-763194,Li2 Mn4 B4 O12,0.2471999999999998
mp-1027898,Li1 Mg14 Fe1,0.0
mp-1113736,Rb2 Li1 Co1 F6,2.8411
mp-1235027,Li1 Al1 As1 O4,0.0
mp-759345,Li4 Ti4 P16 O48,0.0
mp-1235507,Ba1 Sr1 Li1 Nd1 Tl1 Cu2 O7,0.0
mp-1191729,Li2 Ho2 W4 O16,3.7911
mp-758508,Li4 Fe4 C8 O24,2.4349
mp-1235180,Li1 Ce10 Pb6 O2,0.0
mp-1235458,Rb2 Li1 Pr2 W4 O16,0.0213
mp-31960,Li2 Mn2 P4 O14,1.5180000000000002
mp-1111848,Cs2 Li1 Ce1 Br6,0.2909000000000001
mp-780706,Li2 Mn2 P4 O14,0.9065
mp-974887,Li2 Nd2 Sn4,0.0
mp-764685,Li4 V4 O4 F12,2.0132
