material_id,formula_pretty,composition,E_f,E_g
mp-754048,LiMnBO4,Li4 Mn4 B4 O16,-2.2948525982758627,0.0
mp-1192746,LiAs2H3O7,Li2 As4 H6 O14,-1.6394201649679467,3.301
mp-1235087,LiV4(NiO6)2,Li1 V4 Ni2 O12,-2.0018189291228063,0.16110000000000024
mp-758496,LiTi(PO3)4,Li4 Ti4 P16 O48,-2.6771467261243376,0.0
mp-1111927,K2LiCrF6,K2 Li1 Cr1 F6,-3.1451961892833338,4.1644
mp-14209,LiYGe,Li3 Y3 Ge3,-0.71909869611111,0.0
mp-41701,LiCo2P4H3O14,Li2 Co4 P8 H6 O28,-2.218184994818948,3.1992000000000003
mp-1236192,LiPu2TeO2,Li1 Pu2 Te1 O2,-1.9648885170833286,0.0
mp-1176712,LiFe7O7F,Li1 Fe7 O7 F1,-1.624177181145833,0.0
mp-33322,LiHoSe2,Li2 Ho2 Se4,-1.9473703461979177,1.5785
mp-763784,LiMn2F6,Li1 Mn2 F6,-2.8798039437994896,0.7874
mp-754742,Li(CoO2)2,Li1 Co2 O4,-1.3926115319047614,0.0
