material_id,composition,log_sigma
47,Li3 C0.875 S1 N0.875 Cl0.125,-2.7030269622802736
44,Li3 C0.875 S1 N0.875 F0.125,-3.0477244377136232
45,Li3 C0.75 S1 N0.75 Cl0.25,-3.1337788820266725
7,Li3 B0.875 Br0.125 O1 F3.5,-3.31953821182251
76,Li2 H1 Br0.125 Cl0.875 O1,-3.3212838411331176
38,Na3 B0.875 Br0.125 O1 F3.5,-3.3393911361694335
48,Li3 C0.75 S1 Br0.25 N0.75,-3.3549438953399657
24,K2 Al0.875 H1 Br0.125 O1 F3.5,-3.3698916912078856
31,Li2 H1 I0.125 O1 F0.875,-3.560207557678223
3,Na3 Al0.875 S1 I0.125 F3.5,-3.565520453453064
22,K2 Al0.875 H1 I0.125 O1 F3.5,-3.5907862424850463
75,Li2 H1 Br0.75 Cl0.25 O1,-3.6109068393707275
56,K3 Al0.875 I0.125 O1 F3.5,-3.6358233451843263
39,Na3 B0.75 Br0.25 O1 F3,-3.6392641067504883
9,Na3 B0.875 I0.125 O1 F3.5,-3.652662205696106
42,Li3 C0.625 S1 N0.625 Cl0.375,-3.690175271034241
25,K2 Al0.75 H1 Br0.25 O1 F3,-3.7095855236053468
13,Na2 Al0.875 H1 I0.125 O1 F3.5,-3.7302228212356567
