formula,X,B,A,A_w,A_d,A_dw,composition
Li3OF0.95Cl0.05,Li,O,F,0.95,Cl,0.05,Li3 Cl0.05 O1 F0.95
Li3OF0.9Cl0.1,Li,O,F,0.9,Cl,0.1,Li3 Cl0.1 O1 F0.9
Li3OF0.85Cl0.15,Li,O,F,0.85,Cl,0.15,Li3 Cl0.15 O1 F0.85
Li3OF0.8Cl0.2,Li,O,F,0.8,Cl,0.2,Li3 Cl0.2 O1 F0.8
Li3OF0.75Cl0.25,Li,O,F,0.75,Cl,0.25,Li3 Cl0.25 O1 F0.75
Li3OF0.7Cl0.3,Li,O,F,0.7,Cl,0.3,Li3 Cl0.3 O1 F0.7
Li3OF0.65Cl0.35,Li,O,F,0.65,Cl,0.35,Li3 Cl0.35 O1 F0.65
Li3OF0.6Cl0.4,Li,O,F,0.6,Cl,0.4,Li3 Cl0.4 O1 F0.6
Li3OF0.55Cl0.45,Li,O,F,0.55,Cl,0.45,Li3 Cl0.45 O1 F0.55
Li3OF0.5Cl0.5,Li,O,F,0.5,Cl,0.5,Li3 Cl0.5 O1 F0.5
Li3OF0.95(BF4)0.05,Li,O,F,0.95,BF4,0.05,Li3 B0.05 O1 F1.15
Li3OF0.9(BF4)0.1,Li,O,F,0.9,BF4,0.1,Li3 B0.1 O1 F1.3
Li3OF0.85(BF4)0.15,Li,O,F,0.85,BF4,0.15,Li3 B0.15 O1 F1.45
Li3OF0.8(BF4)0.2,Li,O,F,0.8,BF4,0.2,Li3 B0.2 O1 F1.6
Li3OF0.75(BF4)0.25,Li,O,F,0.75,BF4,0.25,Li3 B0.25 O1 F1.75
Li3OF0.7(BF4)0.3,Li,O,F,0.7,BF4,0.3,Li3 B0.3 O1 F1.9
Li3OF0.65(BF4)0.35,Li,O,F,0.65,BF4,0.35,Li3 B0.35 O1 F2.05
Li3OF0.6(BF4)0.4,Li,O,F,0.6,BF4,0.4,Li3 B0.4 O1 F2.2
Li3OF0.55(BF4)0.45,Li,O,F,0.55,BF4,0.45,Li3 B0.45 O1 F2.35
Li3OF0.5(BF4)0.5,Li,O,F,0.5,BF4,0.5,Li3 B0.5 O1 F2.5
Li3OF0.95(CN)0.05,Li,O,F,0.95,CN,0.05,Li3 C0.05 N0.05 O1 F0.95
Li3OF0.9(CN)0.1,Li,O,F,0.9,CN,0.1,Li3 C0.1 N0.1 O1 F0.9
Li3OF0.85(CN)0.15,Li,O,F,0.85,CN,0.15,Li3 C0.15 N0.15 O1 F0.85
Li3OF0.8(CN)0.2,Li,O,F,0.8,CN,0.2,Li3 C0.2 N0.2 O1 F0.8
Li3OF0.75(CN)0.25,Li,O,F,0.75,CN,0.25,Li3 C0.25 N0.25 O1 F0.75
Li3OF0.7(CN)0.3,Li,O,F,0.7,CN,0.3,Li3 C0.3 N0.3 O1 F0.7
Li3OF0.65(CN)0.35,Li,O,F,0.65,CN,0.35,Li3 C0.35 N0.35 O1 F0.65
Li3OF0.6(CN)0.4,Li,O,F,0.6,CN,0.4,Li3 C0.4 N0.4 O1 F0.6
Li3OF0.55(CN)0.45,Li,O,F,0.55,CN,0.45,Li3 C0.45 N0.45 O1 F0.55
Li3OF0.5(CN)0.5,Li,O,F,0.5,CN,0.5,Li3 C0.5 N0.5 O1 F0.5
Li3OF0.95(NH2)0.05,Li,O,F,0.95,NH2,0.05,Li3 H0.1 N0.05 O1 F0.95
Li3OF0.9(NH2)0.1,Li,O,F,0.9,NH2,0.1,Li3 H0.2 N0.1 O1 F0.9
Li3OF0.85(NH2)0.15,Li,O,F,0.85,NH2,0.15,Li3 H0.3 N0.15 O1 F0.85
Li3OF0.8(NH2)0.2,Li,O,F,0.8,NH2,0.2,Li3 H0.4 N0.2 O1 F0.8
Li3OF0.75(NH2)0.25,Li,O,F,0.75,NH2,0.25,Li3 H0.5 N0.25 O1 F0.75
Li3OF0.7(NH2)0.3,Li,O,F,0.7,NH2,0.3,Li3 H0.6 N0.3 O1 F0.7
Li3OF0.65(NH2)0.35,Li,O,F,0.65,NH2,0.35,Li3 H0.7 N0.35 O1 F0.65
Li3OF0.6(NH2)0.4,Li,O,F,0.6,NH2,0.4,Li3 H0.8 N0.4 O1 F0.6
Li3OF0.55(NH2)0.45,Li,O,F,0.55,NH2,0.45,Li3 H0.9 N0.45 O1 F0.55
Li3OF0.5(NH2)0.5,Li,O,F,0.5,NH2,0.5,Li3 H1 N0.5 O1 F0.5
Li3OF0.95(BH4)0.05,Li,O,F,0.95,BH4,0.05,Li3 B0.05 H0.2 O1 F0.95
Li3OF0.9(BH4)0.1,Li,O,F,0.9,BH4,0.1,Li3 B0.1 H0.4 O1 F0.9
Li3OF0.85(BH4)0.15,Li,O,F,0.85,BH4,0.15,Li3 B0.15 H0.6 O1 F0.85
Li3OF0.8(BH4)0.2,Li,O,F,0.8,BH4,0.2,Li3 B0.2 H0.8 O1 F0.8
Li3OF0.75(BH4)0.25,Li,O,F,0.75,BH4,0.25,Li3 B0.25 H1 O1 F0.75
Li3OF0.7(BH4)0.3,Li,O,F,0.7,BH4,0.3,Li3 B0.3 H1.2 O1 F0.7
Li3OF0.65(BH4)0.35,Li,O,F,0.65,BH4,0.35,Li3 B0.35 H1.4 O1 F0.65
Li3OF0.6(BH4)0.4,Li,O,F,0.6,BH4,0.4,Li3 B0.4 H1.6 O1 F0.6
Li3OF0.55(BH4)0.45,Li,O,F,0.55,BH4,0.45,Li3 B0.45 H1.8 O1 F0.55
Li3OF0.5(BH4)0.5,Li,O,F,0.5,BH4,0.5,Li3 B0.5 H2 O1 F0.5
Li3OAlH4,Li,O,AlH4,1.0,,,Li3 Al1 H4 O1
Li3O(AlH4)0.95F0.05,Li,O,AlH4,0.95,F,0.05,Li3 Al0.95 H3.8 O1 F0.05
Li3O(AlH4)0.9F0.1,Li,O,AlH4,0.9,F,0.1,Li3 Al0.9 H3.6 O1 F0.1
Li3O(AlH4)0.85F0.15,Li,O,AlH4,0.85,F,0.15,Li3 Al0.85 H3.4 O1 F0.15
Li3O(AlH4)0.8F0.2,Li,O,AlH4,0.8,F,0.2,Li3 Al0.8 H3.2 O1 F0.2
Li3O(AlH4)0.75F0.25,Li,O,AlH4,0.75,F,0.25,Li3 Al0.75 H3 O1 F0.25
Li3O(AlH4)0.7F0.3,Li,O,AlH4,0.7,F,0.3,Li3 Al0.7 H2.8 O1 F0.3
Li3O(AlH4)0.65F0.35,Li,O,AlH4,0.65,F,0.35,Li3 Al0.65 H2.6 O1 F0.35
Li3O(AlH4)0.6F0.4,Li,O,AlH4,0.6,F,0.4,Li3 Al0.6 H2.4 O1 F0.4
Li3O(AlH4)0.55F0.45,Li,O,AlH4,0.55,F,0.45,Li3 Al0.55 H2.2 O1 F0.45
Li3O(AlH4)0.5F0.5,Li,O,AlH4,0.5,F,0.5,Li3 Al0.5 H2 O1 F0.5
Li3O(AlH4)0.95(BCl4)0.05,Li,O,AlH4,0.95,BCl4,0.05,Li3 Al0.95 B0.05 H3.8 Cl0.2 O1
Li3O(AlH4)0.9(BCl4)0.1,Li,O,AlH4,0.9,BCl4,0.1,Li3 Al0.9 B0.1 H3.6 Cl0.4 O1
Li3O(AlH4)0.85(BCl4)0.15,Li,O,AlH4,0.85,BCl4,0.15,Li3 Al0.85 B0.15 H3.4 Cl0.6 O1
Li3O(AlH4)0.8(BCl4)0.2,Li,O,AlH4,0.8,BCl4,0.2,Li3 Al0.8 B0.2 H3.2 Cl0.8 O1
Li3O(AlH4)0.75(BCl4)0.25,Li,O,AlH4,0.75,BCl4,0.25,Li3 Al0.75 B0.25 H3 Cl1 O1
Li3O(AlH4)0.7(BCl4)0.3,Li,O,AlH4,0.7,BCl4,0.3,Li3 Al0.7 B0.3 H2.8 Cl1.2 O1
Li3O(AlH4)0.65(BCl4)0.35,Li,O,AlH4,0.65,BCl4,0.35,Li3 Al0.65 B0.35 H2.6 Cl1.4 O1
Li3O(AlH4)0.6(BCl4)0.4,Li,O,AlH4,0.6,BCl4,0.4,Li3 Al0.6 B0.4 H2.4 Cl1.6 O1
Li3O(AlH4)0.55(BCl4)0.45,Li,O,AlH4,0.55,BCl4,0.45,Li3 Al0.55 B0.45 H2.2 Cl1.8 O1
Li3O(AlH4)0.5(BCl4)0.5,Li,O,AlH4,0.5,BCl4,0.5,Li3 Al0.5 B0.5 H2 Cl2 O1
Li3O(AlH4)0.95(NO2)0.05,Li,O,AlH4,0.95,NO2,0.05,Li3 Al0.95 H3.8 N0.05 O1.1
Li3O(AlH4)0.9(NO2)0.1,Li,O,AlH4,0.9,NO2,0.1,Li3 Al0.9 H3.6 N0.1 O1.2
Li3O(AlH4)0.85(NO2)0.15,Li,O,AlH4,0.85,NO2,0.15,Li3 Al0.85 H3.4 N0.15 O1.3
Li3O(AlH4)0.8(NO2)0.2,Li,O,AlH4,0.8,NO2,0.2,Li3 Al0.8 H3.2 N0.2 O1.4
Li3O(AlH4)0.75(NO2)0.25,Li,O,AlH4,0.75,NO2,0.25,Li3 Al0.75 H3 N0.25 O1.5
Li3O(AlH4)0.7(NO2)0.3,Li,O,AlH4,0.7,NO2,0.3,Li3 Al0.7 H2.8 N0.3 O1.6
Li3O(AlH4)0.65(NO2)0.35,Li,O,AlH4,0.65,NO2,0.35,Li3 Al0.65 H2.6 N0.35 O1.7
